Date,Open,High,Low,Close,Adj Close,Volume
2016-03-24,243.500000,247.500000,242.500000,246.000000,209.906570,4197000
2016-03-25,247.500000,247.500000,243.000000,243.500000,207.773361,1801000
2016-03-28,243.500000,244.000000,238.000000,240.000000,204.786896,3132000
2016-03-29,239.500000,248.000000,239.500000,244.000000,208.199982,3917000
2016-03-30,247.000000,252.000000,246.000000,249.500000,212.893036,8398000
2016-03-31,251.000000,251.500000,243.500000,247.000000,210.759827,5994000
2016-04-01,242.000000,244.000000,239.000000,241.000000,205.640167,5715000
2016-04-06,238.000000,238.500000,231.000000,231.000000,197.107361,8188000
2016-04-07,232.500000,237.000000,229.000000,229.000000,195.400818,8538000
2016-04-08,228.000000,231.500000,228.000000,229.500000,195.827454,5109000
2016-04-11,233.000000,234.500000,230.000000,232.000000,197.960663,6181000
2016-04-12,233.000000,234.000000,221.500000,222.000000,189.427872,6521000
2016-04-13,225.000000,228.000000,224.000000,225.500000,192.414337,6713000
2016-04-14,232.000000,234.000000,229.000000,231.000000,197.107361,6587000
2016-04-15,233.000000,235.500000,232.500000,234.000000,199.667206,5190000
2016-04-18,236.000000,236.000000,230.500000,234.500000,200.093842,2732000
2016-04-19,237.000000,238.000000,232.000000,232.500000,198.387283,3016000
2016-04-20,235.500000,237.000000,231.500000,232.000000,197.960663,4671000
2016-04-21,234.000000,236.000000,231.500000,234.000000,199.667206,3074000
2016-04-22,234.500000,235.000000,228.000000,230.000000,196.254105,3506000
2016-04-25,230.000000,230.500000,224.000000,228.000000,194.547546,3629000
2016-04-26,230.000000,237.500000,230.000000,236.500000,201.800400,12542000
2016-04-27,237.000000,246.000000,234.500000,242.000000,206.493439,11216000
2016-04-28,245.000000,245.000000,236.000000,236.000000,201.373779,6520000
2016-04-29,234.000000,234.000000,229.500000,230.000000,196.254105,5620000
2016-05-03,208.000000,214.500000,208.000000,211.000000,180.041809,19708000
2016-05-04,210.000000,211.000000,200.000000,201.500000,171.935654,17084000
2016-05-05,201.000000,205.500000,200.000000,203.000000,173.215561,7907000
2016-05-06,200.500000,201.000000,192.000000,192.000000,163.829498,24238000
2016-05-09,196.500000,201.500000,196.000000,196.000000,167.242615,15365000
2016-05-10,199.000000,204.000000,197.000000,204.000000,174.068863,9119000
2016-05-11,206.000000,208.000000,200.000000,200.000000,170.655731,6334000
2016-05-12,200.500000,203.000000,200.000000,200.000000,170.655731,3710000
2016-05-13,200.000000,200.000000,200.000000,200.000000,170.655731,0
2016-05-16,209.000000,209.500000,201.500000,201.500000,171.935654,10076000
2016-05-17,203.500000,203.500000,200.000000,202.500000,172.788940,5011000
2016-05-18,201.000000,204.000000,200.500000,203.500000,173.642212,4352000
2016-05-19,204.000000,204.500000,200.000000,200.000000,170.655731,4027000
2016-05-20,201.500000,203.500000,200.000000,202.000000,172.362289,4002000
2016-05-23,204.000000,212.000000,203.000000,210.000000,179.188522,8679000
2016-05-24,212.000000,213.000000,208.000000,209.000000,178.335220,5241000
2016-05-25,213.000000,214.000000,210.500000,211.000000,180.041809,4675000
2016-05-26,213.500000,216.000000,211.500000,214.000000,182.601639,7984000
2016-05-27,216.000000,216.500000,211.500000,212.500000,181.321716,4495000
2016-05-30,213.000000,219.500000,213.000000,216.500000,184.734848,7906000
2016-05-31,221.500000,225.000000,218.000000,220.000000,187.721313,17211000
2016-06-01,220.000000,223.000000,219.500000,222.000000,189.427872,4852000
2016-06-02,225.000000,225.500000,214.500000,215.000000,183.454926,11610000
2016-06-03,216.000000,219.000000,216.000000,219.000000,186.868042,5373000
2016-06-04,null,null,null,null,null,null
2016-06-06,227.000000,232.000000,227.000000,229.500000,195.827454,14843000
2016-06-07,236.000000,237.000000,231.000000,233.000000,198.813950,12230000
